ACTCMMID,C100_4,CITY,COSTT4_A,INSTNM,LATITUDE,LONGITUDE,SAT_AVG,SCHTYPE,STABBR,TRANS_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_MEN,UGDS_WHITE,UGDS_WOMEN,Year
23.0,0.4826,Decatur,44306.0,Millikin University,39.842612,-88.976298,1127.0,1.0,IL,0.0,33066.0,33066.0,1883.0,0.0011,0.0149,0.1466,0.068,0.4296,0.6941,0.5704,2018
23.0,0.5133,Monmouth,46442.0,Monmouth College,40.914823999999996,-90.63731,1115.0,1.0,IL,0.0,36400.0,36400.0,1010.0,0.002,0.0109,0.1059,0.10300000000000001,0.495,0.6267,0.505,2018
25.0,0.613,Naperville,48402.0,North Central College,41.77576,-88.14279,1200.0,1.0,IL,0.0,37749.0,37749.0,2688.0,0.0015,0.0286,0.0391,0.1503,0.4531,0.6507,0.5469,2018
22.0,0.3972,Chicago,35735.0,North Park University,41.975268,-87.709948,1086.0,1.0,IL,0.0,28620.0,28620.0,2018.0,0.001,0.0837,0.0793,0.2701,0.3697,0.4128,0.6303,2018
22.0,0.207,Dekalb,28557.0,Northern Illinois University,41.933869,-88.766428,1085.0,0.0,IL,0.0,14350.0,23816.0,13430.0,0.0013,0.0538,0.1578,0.1772,0.5021,0.5479,0.4979,2018
33.0,0.8429,Evanston,70317.0,Northwestern University,42.050356,-87.679858,1500.0,1.0,IL,0.0,52678.0,52678.0,8489.0,0.0008,0.1695,0.0597,0.1255,0.495,0.4698,0.505,2018
17.0,0.0361,Chicago,23967.0,Northeastern Illinois University,41.980399,-87.718983,910.0,0.0,IL,0.3476,10736.0,19792.0,7014.0,0.002,0.0874,0.1229,0.377,0.4421,0.28,0.5579,2018
23.0,0.5469,Bourbonnais,44935.0,Olivet Nazarene University,41.155237,-87.875165,1140.0,1.0,IL,0.0,34940.0,34940.0,3356.0,0.0024,0.025,0.0849,0.0751,0.4112,0.7729,0.5888,2018
22.0,0.3478,Quincy,39157.0,Quincy University,39.938897999999995,-91.385975,1082.0,1.0,IL,0.0,27770.0,27770.0,898.0,0.0033,0.01,0.11800000000000001,0.0423,0.5256,0.6715,0.4744,2018
21.0,0.3902,Rockford,40559.0,Rockford University,42.270639,-89.019536,1059.0,1.0,IL,0.0,30050.0,30050.0,1018.0,0.002,0.0226,0.0972,0.1513,0.44299999999999995,0.6228,0.557,2018
23.0,0.3088,Chicago,43251.0,Roosevelt University,41.876055,-87.62495200000001,1119.0,1.0,IL,0.4286,28963.0,28963.0,2485.0,0.0036,0.0579,0.16899999999999998,0.2503,0.3678,0.4374,0.6322,2018
23.0,0.4662,River Forest,40137.0,Dominican University,41.902678,-87.823003,1124.0,1.0,IL,0.2874,32530.0,32530.0,2155.0,0.0014,0.0325,0.0664,0.5104,0.3295,0.3336,0.6705,2018
23.0,0.4056,Joliet,39992.0,University of St Francis,41.532225,-88.096057,1126.0,1.0,IL,0.0,31470.0,31470.0,1563.0,0.0026,0.0192,0.0806,0.19899999999999998,0.3461,0.6238,0.6539,2018
21.0,0.3436,Chicago,38775.0,Saint Xavier University,41.707198999999996,-87.714749,1066.0,1.0,IL,0.37799999999999995,33380.0,33380.0,2927.0,0.0014,0.0318,0.1158,0.3779,0.3594,0.4117,0.6406,2018
24.0,0.364,Springfield,23966.0,University of Illinois at Springfield,39.729524,-89.616796,1159.0,0.0,IL,0.0,11413.0,20938.0,2833.0,0.0028,0.0304,0.13699999999999998,0.0904,0.5079,0.6558,0.4921,2018
23.0,0.2315,Carbondale,27119.0,Southern Illinois University-Carbondale,37.714193,-89.21727299999999,1143.0,0.0,IL,0.0,13932.0,28107.0,10896.0,0.0028,0.0172,0.1626,0.0887,0.5371,0.6509,0.4629,2018
23.0,0.2683,Edwardsville,22078.0,Southern Illinois University-Edwardsville,38.793949,-89.99777900000001,1144.0,0.0,IL,0.3746,11493.0,24651.0,11339.0,0.0029,0.0202,0.1378,0.0458,0.4704,0.7374,0.5296,2018
23.0,0.547,Palos Heights,40208.0,Trinity Christian College,41.667687,-87.783973,1125.0,1.0,IL,0.2393,28675.0,28675.0,1028.0,0.0019,0.0097,0.0837,0.1265,0.3278,0.6401,0.6722,2018
24.0,0.4586,Deerfield,42606.0,Trinity International University-Illinois,42.197945000000004,-87.880851,1129.0,1.0,IL,0.0,30750.0,30750.0,750.0,0.0027,0.0387,0.1613,0.032,0.5413,0.544,0.4587,2018
25.0,0.5714,Chicago,38707.0,VanderCook College of Music,41.836833,-87.629138,1215.0,1.0,IL,0.0,28434.0,28434.0,90.0,0.0,0.0,0.0333,0.2444,0.5333,0.5889,0.4667,2018
21.0,0.2973,Macomb,24851.0,Western Illinois University,40.468086,-90.686899,1045.0,0.0,IL,0.366,12897.0,12897.0,7599.0,0.0012,0.0088,0.2181,0.1199,0.4939,0.5897,0.5061,2018
30.0,0.802,Wheaton,46199.0,Wheaton College,41.870176,-88.099643,1356.0,1.0,IL,0.0,35190.0,35190.0,2356.0,0.0021,0.0883,0.0267,0.0565,0.4537,0.7483,0.5463,2018
25.0,0.4176,Chicago,59698.0,School of the Art Institute of Chicago,41.88105,-87.62575799999999,1127.0,1.0,IL,0.2141,45750.0,45750.0,2848.0,0.0025,0.1103,0.0341,0.1057,0.2669,0.3466,0.7331,2017
22.0,0.4137,Aurora,32930.0,Aurora University,41.753631,-88.349023,1005.0,1.0,IL,0.0,22830.0,22830.0,3784.0,0.0032,0.0238,0.0766,0.2738,0.3523,0.5383,0.6477,2017
21.0,0.3067,Carlinville,27769.0,Blackburn College,39.287896,-89.87024100000001,968.0,1.0,IL,0.0,21162.0,21162.0,587.0,0.0017,0.0085,0.1227,0.028999999999999998,0.4617,0.7666,0.5383,2017
25.0,0.5414,Peoria,44130.0,Bradley University,40.696896,-89.616786,1141.0,1.0,IL,0.0,32120.0,32120.0,4464.0,0.0016,0.0284,0.0484,0.0679,0.4948,0.569,0.5052,2017
18.0,0.0274,Chicago,21509.0,Chicago State University,41.718446,-87.60938399999999,883.0,0.0,IL,0.4761,10252.0,17212.0,2352.0,0.0021,0.0043,0.7453,0.0791,0.2997,0.0327,0.7003,2017
34.0,0.8944,Chicago,70100.0,University of Chicago,41.787994,-87.59953900000001,1508.0,1.0,IL,0.0,53649.0,53649.0,5978.0,0.0017,0.1798,0.0534,0.1096,0.5149,0.4344,0.4851,2017
22.0,0.2805,River Forest,39036.0,Concordia University-Chicago,41.898696,-87.80948199999999,1011.0,1.0,IL,0.0,30630.0,30630.0,1467.0,0.0014,0.0245,0.1254,0.2679,0.4254,0.5194,0.5746,2017
21.0,0.3402,Charleston,22957.0,Eastern Illinois University,39.479843,-88.175658,990.0,0.0,IL,0.314,11580.0,13740.0,5750.0,0.003,0.0094,0.192,0.0696,0.3988,0.6683,0.6012,2017
23.0,0.5605,Elmhurst,43482.0,Elmhurst College,41.897164000000004,-87.945369,1068.0,1.0,IL,0.0,35500.0,35500.0,2778.0,0.0007,0.0551,0.0554,0.1861,0.4107,0.6425,0.5893,2017
22.0,0.4023,Eureka,30677.0,Eureka College,40.71482,-89.269624,1030.0,1.0,IL,0.3851,21120.0,21120.0,666.0,0.006,0.006,0.0511,0.027000000000000003,0.4895,0.8514,0.5105,2017
22.0,0.4028,Greenville,35756.0,Greenville University,38.894162,-89.40824,999.0,1.0,IL,0.0,25720.0,25720.0,956.0,0.0031,0.0146,0.1077,0.0533,0.499,0.6841,0.501,2017
24.0,0.3089,Chicago,25131.0,University of Illinois at Chicago,41.871837,-87.650503,1105.0,0.0,IL,0.297,13664.0,26520.0,17804.0,0.0006,0.2224,0.0821,0.3074,0.4952,0.3222,0.5048,2017
29.0,0.6988,Champaign,29764.0,University of Illinois at Urbana-Champaign,40.104718,-88.229114,1320.0,0.0,IL,0.0,15058.0,30680.0,32752.0,0.0006,0.1791,0.0593,0.1048,0.5477,0.4661,0.4523,2017
27.0,0.7389,Bloomington,54580.0,Illinois Wesleyan University,40.489901,-88.992014,1229.0,1.0,IL,0.0,44142.0,44142.0,1763.0,0.0,0.0437,0.0437,0.0698,0.46399999999999997,0.7107,0.536,2017
29.0,0.3646,Chicago,57277.0,Illinois Institute of Technology,41.8313,-87.627321,1275.0,1.0,IL,0.0,45214.0,45214.0,2859.0,0.0028,0.1336,0.0577,0.1623,0.6999,0.3428,0.3001,2017
24.0,0.4756,Normal,27421.0,Illinois State University,40.509403000000006,-88.99005799999999,1090.0,0.0,IL,0.0,14061.0,25168.0,18571.0,0.0016,0.0214,0.0841,0.1013,0.446,0.7554,0.5539999999999999,2017
22.0,0.526,Elgin,40073.0,Judson University,42.061754,-88.291336,1020.0,1.0,IL,0.0,28730.0,28730.0,1105.0,0.0018,0.0208,0.1077,0.1665,0.4118,0.5329999999999999,0.5882,2017
24.0,0.4119,Romeoville,37393.0,Lewis University,41.605432,-88.079032,1090.0,1.0,IL,0.0,30050.0,30050.0,4433.0,0.0007,0.0424,0.0573,0.1915,0.4593,0.6212,0.5407,2017
22.0,0.4944,Lincoln,25542.0,Lincoln Christian University,40.148924,-89.346721,1007.0,1.0,IL,0.0,13020.0,13020.0,446.0,0.0112,0.0135,0.07400000000000001,0.0314,0.5,0.7959999999999999,0.5,2017
17.0,0.0286,Lincoln,29402.0,Lincoln College,40.155442,-89.36153,823.0,1.0,IL,0.4941,17700.0,17700.0,995.0,0.005,0.002,0.4402,0.0643,0.4593,0.4291,0.5407,2017
27.0,0.6505,Chicago,54324.0,Loyola University Chicago,42.000765,-87.65687199999999,1195.0,1.0,IL,0.0,42032.0,42032.0,10906.0,0.0013,0.1217,0.0525,0.1536,0.3377,0.5616,0.6623,2017
